gauge,amount,symbol,token_price_current,usd,votes_current,token_current,token_name_current,per,amount_last,token_price_last,usd_last,votes_last,token_last,token_name_last,per_vote_last,chng,forecast,per_current
ankrETH+frxETH (0x41eA…),74,FXS,6.1,451.43886064200495,51060.34581904315,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0088,139,5.68,791.2387360155483,33951.31575286879,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0233,-42.9,451.43886064200495,
msETH+frxETH (0x2d60…),135,FXS,6.1,826.5396740366607,169173.9899864429,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0049,123,5.68,699.6472515104957,51245.083253512086,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0137,18.1,826.5396740366607,
WETH+frxETH (0x9c3B…),"14,685",FXS,6.08,89285.52960000001,3965458.757285417,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0225,"5,081",5.864439726611123,29798.860294034566,3912719.019384704,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0076,199.6,89285.52960000001,
ETH+frxETH (0xa1F8…),"4,406",FXS,6.08,26790.912,1028307.4313690648,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0261,nan,,,,,,nan,nan,26790.912,
stETH+frxETH (0x4d9f…),"2,973",FXS,6.08,18076.5696,693755.9066515943,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,Frax Share,0.0261,nan,,,,,,nan,nan,18076.5696,
DOLA+FRAXBP (0xE571…),"2,112",INV,30.14,63655.68,2570732.412565883,0x41D5D79431A913C4aE7d69a668ecdfE5fF9DFB68,Inverse DAO,0.0248,"2,112",33.37,70477.43999999999,3319273.3519258266,0x41D5D79431A913C4aE7d69a668ecdfE5fF9DFB68,Inverse DAO,0.0212,-9.7,63655.68,
DOLA+crvUSD (0x8272…),288,INV,30.14,8680.32,315456.43238405953,0x41D5D79431A913C4aE7d69a668ecdfE5fF9DFB68,Inverse DAO,0.0275,288,33.37,9610.56,412202.1239489864,0x41D5D79431A913C4aE7d69a668ecdfE5fF9DFB68,Inverse DAO,0.0233,-9.7,8680.32,
USDC+WETH+INV (0x5426…),288,INV,30.14,8680.32,315824.4859046894,0x41D5D79431A913C4aE7d69a668ecdfE5fF9DFB68,Inverse DAO,0.0275,288,33.37,9610.56,412677.4612921911,0x41D5D79431A913C4aE7d69a668ecdfE5fF9DFB68,Inverse DAO,0.0233,-9.7,8680.32,
stETH+xETH (0xD4cE…),nan,WETH,,,,,,nan,2,1562.07,2999.1744,131141.17855980853,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,0.0229,nan,3130.278239243103,
WETH+frxETH (0x9c3B…),nan,CVX,,,,,,nan,"3,381",2.68,9061.4016,3912719.019384704,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0023,nan,9457.50545400849,
WETH+frxETH (0x9c3B…),nan,CRV,,,,,,nan,"67,637",0.440328,29782.3768704,3912719.019384704,0xD533a949740bb3306d119CC777fa900bA034cd52,Curve DAO Token,0.0076,nan,31084.263132664186,
WETH+frxETH (0x9c3B…),nan,CRV,,,,,,nan,"50,397",0.438728,22110.627663360003,3912719.019384704,0xD533a949740bb3306d119CC777fa900bA034cd52,Curve DAO Token,0.0057,nan,,
ETH+frxETH (0xa1F8…),nan,CRV,,,,,,nan,"54,384",0.440328,23946.797952000004,1048892.4802774673,0xD533a949740bb3306d119CC777fa900bA034cd52,Curve DAO Token,0.0228,nan,24993.591746014143,
stETH+frxETH (0x4d9f…),nan,CRV,,,,,,nan,"31,488",0.440328,13865.048064,606895.4877079676,0xD533a949740bb3306d119CC777fa900bA034cd52,Curve DAO Token,0.0228,nan,14471.135203340933,
