choice_index,choice_current,amount,symbol,score_current,price,usd,per,round,date,amount_last,usd_last,choice_last,block_number,token_name,token_price,token_addr,score_last,proposal,tx_hash,per_last,chng,forecast,choice
92,cvxFXS+FRAXBP (0x21d1…),"1,153",CVX,154548.82864726672,2.81,3239.8176000000003,0.0210,50.0,2023-08-08,"1,087",3533.8027180462755,cvxFXS+FRAXBP (0x21d1…),17840047.0,Convex Token,3.251806093608543,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,137058.7184215542,0x2dba907ff2e905b98220207c71498aa41551d1df531bd16ad90d0eb4f95c2797,0x3e4b9f7079a0c717e7d5aa8b37213760e0375bb95c54917c6af0734ae547ee50,0.0258,-8.3,3239.8176000000003,cvxFXS+FRAXBP (0x21d1…)
136,FPIS+cvxFPIS (0xfBB4…),"4,798",CVX,535271.5393075983,2.81,13482.6048,0.0252,50.0,2023-08-08,"4,798",15602.425781621278,FPIS+cvxFPIS (0xfBB4…),17840049.0,Convex Token,3.251806093608543,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,494831.0377809313,0x2dba907ff2e905b98220207c71498aa41551d1df531bd16ad90d0eb4f95c2797,0x2704c548f1aaa948abfab510e773870eb020f52c00123adc4280e27f42a461c2,0.0315,-13.6,13482.6048,FPIS+cvxFPIS (0xfBB4…)
193,GRAI+FRAXBP (0x3175…),"2,400",GRAI,130588.56033539292,0.984199,2362.0776,0.0181,,,nan,,,,,,,,,,nan,nan,2362.0776,GRAI+FRAXBP (0x3175…)
128,ETH+CNC (0x838a…),"4,874",CNC,348089.405490902,1.7,8285.538461538463,0.0238,50.0,2023-08-08,"4,874",9919.043798529216,ETH+CNC (0x838a…),17849791.0,Conic Finance Token,2.035157345026512,0x9aE380F0272E2162340a5bB646c354271c0F5cFC,306207.13436042465,0x2dba907ff2e905b98220207c71498aa41551d1df531bd16ad90d0eb4f95c2797,0xad737046e43f4a8ac9c8ffabe4484531c93afc14488faac705faa3156b80f7e0,0.0324,-16.5,8285.538461538463,ETH+CNC (0x838a…)
119,msUSD+FRAXBP (0xc3b1…),"12,000",MET,537406.8898051754,1.051,12612.0,0.0235,50.0,2023-08-08,"12,000",14552.30313078384,msUSD+FRAXBP (0xc3b1…),17846579.0,Metronome2,1.21269192756532,0x2Ebd53d035150f328bd754D6DC66B99B0eDB89aa,477191.21410358296,0x2dba907ff2e905b98220207c71498aa41551d1df531bd16ad90d0eb4f95c2797,0x8ffc83d14764564ed3a9e8e8f0177ce28b90be9674aa3e7c1bef86ba2930d9ca,0.0305,-13.3,12612.0,msUSD+FRAXBP (0xc3b1…)
198,msETH+WETH (0xa4c5…),"7,200",MET,302014.5579575917,1.051,7567.2,0.0251,,,nan,,,,,,,,,,nan,nan,7567.2,msETH+WETH (0xa4c5…)
88,DOLA+FRAXBP (0xE571…),"2,304",INV,3128629.9924420654,30.15,69465.59999999999,0.0222,50.0,2023-08-08,"2,592",106277.09602148882,DOLA+FRAXBP (0xE571…),17851696.0,Inverse DAO,41.00196605767315,0x41D5D79431A913C4aE7d69a668ecdfE5fF9DFB68,3403384.8786348365,0x2dba907ff2e905b98220207c71498aa41551d1df531bd16ad90d0eb4f95c2797,0x853953e02d0118672a34ac495b50e02117d1cca3bbde2689b0676d17390f2219,0.0312,-34.6,69465.59999999999,DOLA+FRAXBP (0xE571…)
194,DOLA+crvUSD (0x8272…),288,INV,357339.18389373814,30.15,8683.199999999999,0.0243,50.0,2023-08-08,144,5904.283112304934,DOLA+crvUSD (0x8272…),17858172.0,Inverse DAO,41.00196605767315,0x41D5D79431A913C4aE7d69a668ecdfE5fF9DFB68,181859.7062184154,0x2dba907ff2e905b98220207c71498aa41551d1df531bd16ad90d0eb4f95c2797,0x69faa0fe3f1a48d0df52b902c28fd1f52ac687d31b2f936aa8220cc5236794dc,0.0325,47.1,8683.199999999999,DOLA+crvUSD (0x8272…)
185,USDC+WETH+INV (0x5426…),288,INV,356648.1413622952,30.15,8683.199999999999,0.0243,50.0,2023-08-08,288,11808.566224609867,USDC+WETH+INV (0x5426…),17858172.0,Inverse DAO,41.00196605767315,0x41D5D79431A913C4aE7d69a668ecdfE5fF9DFB68,367753.0494485252,0x2dba907ff2e905b98220207c71498aa41551d1df531bd16ad90d0eb4f95c2797,0x69faa0fe3f1a48d0df52b902c28fd1f52ac687d31b2f936aa8220cc5236794dc,0.0321,-26.5,8683.199999999999,USDC+WETH+INV (0x5426…)
116,CVX+clevCVX (0xF907…),"2,304",CVX,254259.30803613836,2.81,6474.24,0.0255,50.0,2023-08-08,"1,915",6227.859030479081,CVX+clevCVX (0xF907…),17862118.0,Convex Token,3.251806093608543,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,194235.62998717008,0x2dba907ff2e905b98220207c71498aa41551d1df531bd16ad90d0eb4f95c2797,0x31781f7273a79d2212f7d7209ec4ac8b7dea1e0c1647c6458f3da132cc379090,0.0321,4.0,6474.24,CVX+clevCVX (0xF907…)
118,ETH+CLEV (0x342D…),850,CVX,93133.44126704149,2.81,2387.376,0.0256,50.0,2023-08-08,"1,021",3321.52481625551,ETH+CLEV (0x342D…),17862118.0,Convex Token,3.251806093608543,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,103220.11791082972,0x2dba907ff2e905b98220207c71498aa41551d1df531bd16ad90d0eb4f95c2797,0x31781f7273a79d2212f7d7209ec4ac8b7dea1e0c1647c6458f3da132cc379090,0.0322,-28.1,2387.376,ETH+CLEV (0x342D…)
29,MIM+3Crv (0x5a6A…),"105,599,998",SPELL,1579919.8016860858,0.0003904,41226.239250432,0.0261,50.0,2023-08-08,"105,600,000",50224.96494620912,MIM+3Crv (0x5a6A…),17842760.0,Spell Token,0.0004756151983542,0x090185f2135308BaD17527004364eBcC2D37e5F6,1594067.6901835958,0x2dba907ff2e905b98220207c71498aa41551d1df531bd16ad90d0eb4f95c2797,0x75c3ad0fb8e680fed9bd475245b14f6ef323dff75b5a3583bb360b7fdf15c93d,0.0315,-17.9,41226.239250432,MIM+3Crv (0x5a6A…)
77,FRAX+USDC (0xDcEF…),"42,541",FXS,9988346.485377481,5.85,248867.424,0.0249,50.0,2023-08-08,"57,490",363036.6456090671,FRAX+USDC (0xDcEF…),17859167.0,Frax Share,6.314822952483008,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,11692879.392505052,0x2dba907ff2e905b98220207c71498aa41551d1df531bd16ad90d0eb4f95c2797,0x5883e44c927b47fdce43fdcecbb0293407912a9ef85a404fe3c8cad1576da2b2,0.0310,-31.4,248867.424,FRAX+USDC (0xDcEF…)
83,alUSD+FRAXBP (0xB30d…),"2,087",FXS,2768798.110635966,5.85,12209.184,0.0044,50.0,2023-08-08,"2,031",12827.678752755884,alUSD+FRAXBP (0xB30d…),17859173.0,Frax Share,6.314822952483008,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,2717397.3513913075,0x2dba907ff2e905b98220207c71498aa41551d1df531bd16ad90d0eb4f95c2797,0x71a37d23e8fda8d341eb80f2e2e8e4dbc2cf8e5487dccd5121dd0318deaf61d0,0.0047,-4.8,12209.184,alUSD+FRAXBP (0xB30d…)
88,DOLA+FRAXBP (0xE571…),"1,118",FXS,3128629.9924420654,5.85,6542.64,0.0021,50.0,2023-08-08,301,1903.5402307964775,DOLA+FRAXBP (0xE571…),17859209.0,Frax Share,6.314822952483008,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,3403384.8786348365,0x2dba907ff2e905b98220207c71498aa41551d1df531bd16ad90d0eb4f95c2797,0xbc17496e6cb9e18edf164e607bd4d96a7868f518a295a84b6395ec4f448e13ba,0.0006,243.7,6542.64,DOLA+FRAXBP (0xE571…)
131,eUSD+FRAXBP (0xAEda…),667,FXS,991250.94863671,5.85,3903.12,0.0039,50.0,2023-08-08,570,3600.96464042391,eUSD+FRAXBP (0xAEda…),17859187.0,Frax Share,6.314822952483008,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,981399.2739611364,0x2dba907ff2e905b98220207c71498aa41551d1df531bd16ad90d0eb4f95c2797,0xa1a8f37422d06b3e43692c2c29c90ccc7c86dd4840e546375a7b1eef9f350558,0.0037,8.4,3903.12,eUSD+FRAXBP (0xAEda…)
176,ZUSD+FRAXBP (0x400d…),300,FXS,69955.10470304126,5.85,1757.808,0.0251,50.0,2023-08-08,337,2127.8427420686744,ZUSD+FRAXBP (0x400d…),17859195.0,Frax Share,6.314822952483008,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,65650.38957455874,0x2dba907ff2e905b98220207c71498aa41551d1df531bd16ad90d0eb4f95c2797,0xe70fe0a7a81a1f789a7874f0d0205b756568fe3ec101ab20231a738340ea6902,0.0324,-17.4,1757.808,ZUSD+FRAXBP (0x400d…)
