round,date,token_symbol,amount,usd_amount,choice,block_number,choice_index,token_name,token_price,token_addr,score,proposal,tx_hash,per_vote
4,2021-10-28,DAI,57600.0,57873.54993537146,link,block_number,choice_index,Dai Stablecoin,1.0047491308224212,0x6B175474E89094C44Da98b954EedeAC495271d0F,3.498746622287905,proposal,tx_hash,16541.223524648012
4,2021-10-28,ALCX,768.0,335842.17468318844,reth,block_number,choice_index,Alchemix,437.29449828540163,0xdBdb4d16EdA451D0503b854CF79D55697F90c8DF,275364.58950383257,proposal,tx_hash,1.2196273140578016
4,2021-10-28,MTA,25822.050533310863,20102.960794547264,usdn,block_number,choice_index,Meta,0.7785191485321477,0xa3BeD4E1c75D00fa6f4E5E6922DB7261B5E9AcD2,408266.17043815966,proposal,tx_hash,0.04923983971773207
4,2021-10-28,WETH,9.6,41517.37402784413,lusd,block_number,choice_index,Wrapped Ether,4324.726461233764,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,217.47257503287977,proposal,tx_hash,190.90855029222467
4,2021-10-28,ALCX,864.0,380362.38032163784,fantom-tricrypto,block_number,choice_index,Alchemix,440.2342364833771,0xdBdb4d16EdA451D0503b854CF79D55697F90c8DF,442.1015440695803,proposal,tx_hash,860.3507167615193
4,2021-10-28,BADGER,1785.6,46766.2685971066,pax,block_number,choice_index,Badger,26.190786624723682,0x3472A5A71965499acd81997a54BBA8D852C6E53d,3.498746622287905,proposal,tx_hash,13366.57770505403
4,2021-10-28,BADGER,1094.4,28663.1968820976,musd,block_number,choice_index,Badger,26.190786624723682,0x3472A5A71965499acd81997a54BBA8D852C6E53d,285049.601086627,proposal,tx_hash,0.10055512013639624
4,2021-10-28,DAI,96000.0,96136.16655964234,ust,block_number,choice_index,Dai Stablecoin,1.001418401662941,0x6B175474E89094C44Da98b954EedeAC495271d0F,754.0357909263212,proposal,tx_hash,127.49549519597812
4,2021-10-28,DAI,96000.0,96136.16655964234,harmony-3pool,block_number,choice_index,Dai Stablecoin,1.001418401662941,0x6B175474E89094C44Da98b954EedeAC495271d0F,73.68298096915234,proposal,tx_hash,1304.7268893734106
4,2021-10-28,USDM,66643.2,66643.2,eurn,block_number,choice_index,USDM,1.0,0x31d4Eb09a216e181eC8a43ce79226A487D6F0BA9,3.498746622287905,proposal,tx_hash,19047.73543058702
4,2021-10-28,MTA,50017.948800000006,38788.31291091857,usdn,block_number,choice_index,Meta,0.7754878766823513,0xa3BeD4E1c75D00fa6f4E5E6922DB7261B5E9AcD2,408266.17043815966,proposal,tx_hash,0.0950074135931717
4,2021-10-28,SPELL,43200000.0,1268496.175471773,usdm,block_number,choice_index,Spell Token,0.029363337395179927,0x090185f2135308BaD17527004364eBcC2D37e5F6,564331.213949372,proposal,tx_hash,2.2477866616564186
4,2021-10-28,FXS,72288.96,966069.1605674833,busdv2,block_number,choice_index,Frax Share,13.363993071244671,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,3.498746622287905,proposal,tx_hash,276118.6404335133
